#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2471 1.2790E-03 1.2790E-03  -1.12   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.620 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  12  0.108712  3.5278  5.3314 -2.7927 18.0850 14.3483 12.6725 11.7800 11.3001
  13  0.121297  3.5323  5.2751 -2.6705 17.5740 13.9631 12.3094 11.4598 10.9967
  14  0.136772  3.5375  5.2171 -2.5396 17.0300 13.5476 11.9195 11.1150 10.6707
  15  0.155513  3.5442  5.1669 -2.4070 16.4609 13.1123 11.5158 10.7612 10.3401
  16  0.174663  3.5517  5.1321 -2.2922 15.9444 12.7183 11.1565 10.4501 10.0535
  17  0.190607  3.5572  5.1074 -2.2075 15.5738 12.4303 10.8956 10.2215  9.8425
  18  0.204185  3.5609  5.0870 -2.1420 15.3044 12.2150 10.7000 10.0468  9.6790
  19  0.217112  3.5640  5.0686 -2.0846 15.0781 12.0305 10.5322  9.8950  9.5363
  20  0.229809  3.5667  5.0523 -2.0330 14.8804 11.8663 10.3822  9.7589  9.4080
  21  0.243431  3.5693  5.0362 -1.9814 14.6842 11.7027 10.2333  9.6229  9.2793
  22  0.260463  3.5723  5.0185 -1.9225 14.4629 11.5174 10.0651  9.4685  9.1331
  23  0.278633  3.5751  5.0020 -1.8654 14.2498 11.3383  9.9023  9.3189  8.9911
  24  0.294496  3.5775  4.9882 -1.8182 14.0751 11.1909  9.7688  9.1957  8.8739
  25  0.305036  3.5789  4.9794 -1.7879 13.9629 11.0964  9.6835  9.1169  8.7988
  26  0.312048  3.5799  4.9738 -1.7688 13.8926 11.0369  9.6298  9.0673  8.7514
  27  0.317443  3.5806  4.9699 -1.7545 13.8397 10.9924  9.5896  9.0300  8.7160
  28  0.321449  3.5811  4.9669 -1.7439 13.8002 10.9591  9.5596  9.0023  8.6895
  29  0.324946  3.5816  4.9642 -1.7345 13.7650 10.9295  9.5332  8.9779  8.6663
  30  0.328481  3.5822  4.9615 -1.7250 13.7293 10.8994  9.5064  8.9532  8.6429
  31  0.332518  3.5828  4.9585 -1.7143 13.6888 10.8655  9.4760  8.9252  8.6163
  32  0.337447  3.5834  4.9547 -1.7013 13.6396 10.8242  9.4392  8.8912  8.5840
  33  0.343283  3.5843  4.9496 -1.6854 13.5801 10.7742  9.3945  8.8498  8.5447
  34  0.352702  3.5857  4.9409 -1.6591 13.4795 10.6914  9.3218  8.7819  8.4795
  35  0.389980  3.5935  4.8991 -1.5432 13.0188 10.3094  8.9878  8.4775  8.1927
  36  0.413416  3.5991  4.8705 -1.4662 12.7058 10.0510  8.7673  8.2760  8.0024
  37  0.426521  3.6028  4.8528 -1.4198 12.5147  9.8920  8.6332  8.1541  7.8879
  38  0.436365  3.6061  4.8385 -1.3827 12.3615  9.7631  8.5255  8.0568  7.7967
  39  0.447207  3.6099  4.8236 -1.3420 12.1907  9.6197  8.4067  7.9498  7.6965
  40  0.457898  3.6141  4.8090 -1.3009 12.0162  9.4728  8.2861  7.8418  7.5961
  41  0.468382  3.6185  4.7952 -1.2594 11.8371  9.3218  8.1637  7.7330  7.4953
  42  0.478960  3.6234  4.7818 -1.2166 11.6491  9.1628  8.0361  7.6205  7.3920
  43  0.489395  3.6286  4.7694 -1.1738 11.4600  9.0014  7.9076  7.5080  7.2892
  44  0.499806  3.6342  4.7579 -1.1307 11.2680  8.8369  7.7776  7.3950  7.1864
  45  0.510420  3.6405  4.7477 -1.0863 11.0609  8.6611  7.6412  7.2779  7.0811
  46  0.520446  3.6470  4.7394 -1.0438 10.8490  8.4864  7.5082  7.1652  6.9806
  47  0.530091  3.6535  4.7324 -1.0026 10.6285  8.3155  7.3796  7.0561  6.8834
  48  0.539400  3.6600  4.7262 -0.9630 10.4024  8.1513  7.2570  6.9513  6.7898
  49  0.548340  3.6662  4.7205 -0.9252 10.1777  7.9968  7.1416  6.8516  6.7002
  50  0.557089  3.6723  4.7151 -0.8884  9.9508  7.8479  7.0304  6.7548  6.6129
  51  0.566026  3.6787  4.7099 -0.8508  9.7169  7.6989  6.9185  6.6565  6.5239
  52  0.570992  3.6822  4.7070 -0.8299  9.5872  7.6175  6.8569  6.6022  6.4747
  53  0.575907  3.6857  4.7042 -0.8094  9.4606  7.5384  6.7966  6.5487  6.4262
  54  0.580801  3.6892  4.7012 -0.7889  9.3346  7.4607  6.7371  6.4957  6.3782
  55  0.585695  3.6926  4.6981 -0.7685  9.2077  7.3849  6.6789  6.4438  6.3309
  56  0.590606  3.6960  4.6949 -0.7482  9.0756  7.3096  6.6213  6.3925  6.2840
  57  0.595526  3.6993  4.6914 -0.7279  8.9453  7.2356  6.5645  6.3416  6.2375
  58  0.600409  3.7026  4.6880 -0.7076  8.8285  7.1639  6.5080  6.2910  6.1912
  59  0.605250  3.7058  4.6844 -0.6877  8.7219  7.0938  6.4519  6.2405  6.1452
  60  0.610043  3.7090  4.6806 -0.6680  8.6241  7.0266  6.3973  6.1911  6.1000
  61  0.614795  3.7121  4.6769 -0.6484  8.5200  6.9596  6.3435  6.1426  6.0557
  62  0.619522  3.7151  4.6729 -0.6291  8.4171  6.8945  6.2913  6.0953  6.0121
  63  0.624235  3.7181  4.6689 -0.6097  8.3124  6.8298  6.2394  6.0482  5.9687
  64  0.628935  3.7211  4.6646 -0.5905  8.2120  6.7672  6.1884  6.0016  5.9255
  65  0.633636  3.7240  4.6604 -0.5712  8.1118  6.7047  6.1373  5.9548  5.8822
  66  0.638345  3.7268  4.6558 -0.5521  8.0159  6.6433  6.0871  5.9087  5.8395
  67  0.643081  3.7297  4.6512 -0.5327  7.9204  6.5812  6.0367  5.8627  5.7970
  68  0.647884  3.7325  4.6460 -0.5132  7.8278  6.5197  5.9863  5.8168  5.7545
  69  0.652741  3.7354  4.6410 -0.4934  7.7337  6.4570  5.9353  5.7704  5.7114
  70  0.657629  3.7381  4.6353 -0.4736  7.6435  6.3956  5.8847  5.7240  5.6683
  71  0.662510  3.7409  4.6298 -0.4536  7.5522  6.3336  5.8339  5.6775  5.6251
  72  0.667332  3.7435  4.6238 -0.4339  7.4665  6.2741  5.7845  5.6322  5.5825
  73  0.672047  3.7462  4.6179 -0.4146  7.3827  6.2156  5.7360  5.5876  5.5410
  74  0.676626  3.7486  4.6120 -0.3959  7.3030  6.1592  5.6891  5.5444  5.5007
  75  0.681042  3.7509  4.6059 -0.3778  7.2289  6.1055  5.6442  5.5030  5.4618
  76  0.685273  3.7532  4.6002 -0.3604  7.1576  6.0536  5.6008  5.4630  5.4243
  77  0.689299  3.7551  4.5942 -0.3439  7.0930  6.0054  5.5601  5.4252  5.3887
  78  0.693110  3.7572  4.5887 -0.3281  7.0309  5.9590  5.5210  5.3892  5.3548
  79  0.696715  3.7589  4.5830 -0.3132  6.9749  5.9160  5.4845  5.3552  5.3228
  80  0.700133  3.7606  4.5778 -0.2989  6.9203  5.8744  5.4493  5.3227  5.2921
  81  0.703385  3.7621  4.5723 -0.2853  6.8712  5.8358  5.4161  5.2918  5.2629
  82  0.707720  3.7642  4.5651 -0.2671  6.8049  5.7834  5.3713  5.2500  5.2236
  83  0.711987  3.7662  4.5576 -0.2490  6.7405  5.7319  5.3270  5.2086  5.1844
  84  0.716231  3.7682  4.5500 -0.2308  6.6767  5.6804  5.2826  5.1673  5.1452
  85  0.720484  3.7701  4.5421 -0.2126  6.6136  5.6290  5.2382  5.1257  5.1059
  86  0.724774  3.7721  4.5340 -0.1942  6.5501  5.5770  5.1933  5.0837  5.0659
  87  0.729115  3.7741  4.5256 -0.1753  6.4851  5.5243  5.1478  5.0411  5.0254
  88  0.733512  3.7760  4.5168 -0.1562  6.4200  5.4712  5.1019  4.9980  4.9843
  89  0.737965  3.7780  4.5077 -0.1367  6.3542  5.4171  5.0550  4.9540  4.9425
  90  0.742468  3.7799  4.4983 -0.1167  6.2881  5.3618  5.0068  4.9089  4.8993
  91  0.746975  3.7818  4.4884 -0.0966  6.2248  5.3064  4.9580  4.8629  4.8554
  92  0.751455  3.7837  4.4782 -0.0764  6.1628  5.2508  4.9085  4.8162  4.8108
  93  0.755873  3.7855  4.4679 -0.0561  6.1022  5.1949  4.8585  4.7690  4.7658
  94  0.760201  3.7873  4.4573 -0.0360  6.0434  5.1401  4.8092  4.7223  4.7211
  95  0.764420  3.7890  4.4466 -0.0162  5.9851  5.0860  4.7605  4.6761  4.6768
  96  0.768521  3.7906  4.4357  0.0034  5.9276  5.0328  4.7126  4.6307  4.6333
  97  0.772499  3.7921  4.4249  0.0227  5.8713  4.9809  4.6659  4.5864  4.5906
  98  0.776356  3.7936  4.4141  0.0417  5.8155  4.9293  4.6197  4.5425  4.5485
