objid,ra,dec,u,g,u-g,r,i,z,r-i,i-z
1.24E+18,229.7599135,2.082967727,16.8538,15.07612,1.777682,14.24433,14.02583,13.78307,0.2185,0.24276
1.24E+18,229.7481076,2.03545768,16.65892,15.07939,1.579527,14.29834,13.86803,13.85357,0.43031,0.01446
1.24E+18,229.7573292,2.109762778,16.7456,15.07853,1.667069,14.28808,17.3414,13.8345,-3.05332,3.5069
1.24E+18,229.7669813,2.09044923,17.0068,15.39201,1.614785,14.67505,14.39401,14.25693,0.28104,0.13708
1.24E+18,229.7580741,2.053777714,16.23319,15.10219,1.131001,14.81307,14.73132,14.72507,0.08175,0.00625
1.24E+18,229.7584681,2.064399427,16.48624,15.30914,1.177101,14.81366,14.63356,14.57167,0.1801,0.06189
1.24E+18,229.7601916,2.066322332,18.37625,15.99398,2.382267,14.95397,14.61391,14.44286,0.34006,0.17105
1.24E+18,229.7893178,2.097177745,16.53376,15.39845,1.135319,14.97134,14.81078,14.77111,0.16056,0.03967
1.24E+18,229.7634894,2.134224574,16.44678,16.75959,-0.3128166,15.10917,14.8921,11.09133,0.21707,3.80077
1.24E+18,229.7521584,2.137773176,16.36718,15.30635,1.060827,15.47105,15.58505,15.77762,-0.114,-0.19257
1.24E+18,229.7538951,2.029053533,17.58329,16.28669,1.296598,15.69181,15.46747,15.35697,0.22434,0.1105
1.24E+18,229.7637557,2.056930166,17.89281,16.54154,1.351263,15.9386,15.70914,15.63129,0.22946,0.07785
1.24E+18,229.7640564,2.051591965,16.41958,15.97986,0.4397163,16.26847,16.49764,16.74006,-0.22917,-0.24242
1.24E+18,229.7471862,2.132661082,18.15334,16.70797,1.445377,16.15908,15.98124,15.92908,0.17784,0.05216
1.24E+18,229.7665993,2.084463956,18.19229,16.94649,1.2458,16.36214,16.13287,16.02683,0.22927,0.10604
1.24E+18,229.7528914,2.111756218,17.98021,16.80494,1.175274,16.34097,16.18796,16.15614,0.15301,0.03182
1.24E+18,229.7586803,2.047168903,18.51827,17.12753,1.390734,16.52238,16.29343,16.20202,0.22895,0.09141
1.24E+18,229.7682228,2.101337562,18.44662,17.17487,1.271748,16.60918,16.37922,16.29371,0.22996,0.08551
1.24E+18,229.759601,2.133532837,18.50473,17.19391,1.310822,16.60546,16.36177,16.3131,0.24369,0.04867
1.24E+18,229.7803168,2.090029241,18.98867,17.21987,1.768805,16.53858,16.30029,16.18136,0.23829,0.11893
1.24E+18,229.7572087,2.113613815,18.28652,17.01831,1.268206,16.49074,16.28136,16.17157,0.20938,0.10979
1.24E+18,229.7645609,2.062812816,18.55388,17.28553,1.268351,16.72822,16.4903,16.41228,0.23792,0.07802
1.24E+18,229.7460728,2.059694905,18.95881,17.68237,1.276447,17.16783,16.95485,16.90236,0.21298,0.05249
1.24E+18,229.7594328,2.137274765,19.03342,17.74624,1.287178,17.22779,17.01312,16.9671,0.21467,0.04602
1.24E+18,229.7493754,2.025091128,18.96487,17.71445,1.25042,17.16709,16.98192,16.8925,0.18517,0.08942
1.24E+18,229.744295,2.043295722,19.09435,17.84066,1.253687,17.32414,17.11344,17.06285,0.2107,0.05059
1.24E+18,229.7537576,2.031485772,18.90858,17.87326,1.035322,17.38175,17.17862,17.13824,0.20313,0.04038
1.24E+18,229.7682065,2.056011,19.17968,17.93197,1.247711,17.42347,17.2223,17.16961,0.20117,0.05269
1.24E+18,229.7625693,2.11678321,19.0473,17.89316,1.154142,17.39002,17.19757,17.13183,0.19245,0.06574
1.24E+18,229.7783658,2.054802791,19.16597,18.01569,1.15028,17.48627,17.2994,17.24387,0.18687,0.05553
1.24E+18,229.7659547,2.063904541,19.20985,18.05013,1.159721,17.56286,17.35443,17.30583,0.20843,0.0486
1.24E+18,229.746538,2.094636153,19.30474,25.11437,-5.809639,18.03211,24.3618,17.67061,-6.32969,6.69119
1.24E+18,229.7673392,2.065405657,19.28386,18.09911,1.184748,17.62015,17.43031,17.34983,0.18984,0.08048
1.24E+18,229.7468233,2.071452393,19.18695,18.10889,1.078053,17.50738,17.5082,17.48146,-0.00082,0.02674
1.24E+18,229.7662918,2.039352708,19.24799,25.41645,-6.168459,24.85416,24.70982,16.79328,0.14434,7.91654
1.24E+18,229.7494942,2.111417764,19.19662,18.15187,1.04475,17.69077,17.52867,17.45964,0.1621,0.06903
1.24E+18,229.7520444,2.062970987,19.23427,18.15903,1.075241,17.74119,17.58723,17.59511,0.15396,-0.00788
1.24E+18,229.74734,2.057845415,19.23501,18.18055,1.054459,17.79747,17.65797,17.68709,0.1395,-0.02912
1.24E+18,229.7879488,2.068890228,19.21091,18.15989,1.051025,17.76684,17.62631,17.60705,0.14053,0.01926
1.24E+18,229.7564189,2.088373823,19.18014,18.14046,1.039677,17.6869,17.50003,17.46961,0.18687,0.03042
1.24E+18,229.7647117,2.054436079,19.22618,18.1844,1.041782,17.75963,17.59006,17.57383,0.16957,0.01623
1.24E+18,229.7450965,2.121613688,19.18772,18.17563,1.012093,17.77687,17.62682,17.60442,0.15005,0.0224
1.24E+18,229.7569598,2.130673915,19.2324,18.17451,1.057892,17.75872,17.60074,17.60167,0.15798,-0.00093
1.24E+18,229.7494388,2.107805399,19.18059,18.1679,1.01269,17.74895,17.60394,17.62102,0.14501,-0.01708
1.24E+18,229.7524187,2.106310458,19.1973,18.17696,1.020336,17.8195,17.69192,17.67669,0.12758,0.01523
1.24E+18,229.7586863,2.108498319,19.18125,19.28945,-0.108202,18.51453,17.67322,17.63183,0.84131,0.04139
1.24E+18,229.7569381,2.051776865,19.23027,18.22752,1.00275,17.86437,17.74128,17.75088,0.12309,-0.0096
1.24E+18,229.7706079,2.093139647,24.32343,25.11434,-0.7909107,24.80204,24.3618,17.02685,0.44024,7.33495
1.24E+18,229.7497167,2.063795664,19.20383,18.17836,1.025467,17.79004,17.65232,17.63546,0.13772,0.01686
1.24E+18,229.7882869,2.082253188,19.22189,18.22696,0.9949245,17.90397,17.78781,17.77822,0.11616,0.00959
1.24E+18,229.7583184,2.045553807,20.00384,18.62606,1.377775,18.02594,17.77037,17.71463,0.25557,0.05574
1.24E+18,229.787923,2.070089014,19.21703,18.27664,0.9403877,17.85354,17.82132,17.81392,0.03222,0.0074
1.24E+18,229.7491769,2.094972614,19.29925,18.34422,0.9550285,18.00648,17.8753,17.91963,0.13118,-0.04433
1.24E+18,229.744041,2.069184344,19.09931,18.1631,0.9362144,17.8575,17.75119,17.79252,0.10631,-0.04133
1.24E+18,229.7520435,2.083787915,19.14997,18.06341,1.086552,17.92311,17.78304,17.82581,0.14007,-0.04277
1.24E+18,229.7468141,2.125386512,19.24516,18.3014,0.943758,17.969,17.85078,17.88902,0.11822,-0.03824
1.24E+18,229.7706716,2.057445692,19.3318,18.309,1.022797,17.97484,17.83098,17.84813,0.14386,-0.01715
1.24E+18,229.7602653,2.051942076,19.29828,18.35437,0.9439087,18.03887,17.91946,17.95849,0.11941,-0.03903
1.24E+18,229.7799228,2.095682545,19.2236,18.25713,0.9664726,17.92954,17.80556,17.81321,0.12398,-0.00765
1.24E+18,229.7864005,2.064599884,19.27917,18.29577,0.9834003,17.98802,17.8631,17.91553,0.12492,-0.05243
1.24E+18,229.745321,2.119696996,19.36691,18.41827,0.948637,18.08505,17.97249,18.01759,0.11256,-0.0451
1.24E+18,229.7547082,2.093976101,19.33852,18.34793,0.9905891,18.03432,17.90746,17.94593,0.12686,-0.03847
1.24E+18,229.7657678,2.037048773,19.49456,18.47495,1.019608,18.16666,18.06348,18.06376,0.10318,-0.00028
1.24E+18,229.7641551,2.057880648,19.34072,18.39526,0.9454689,18.07562,17.95216,17.9706,0.12346,-0.01844
1.24E+18,229.7600288,2.13146822,19.44812,18.44613,1.001982,18.12525,18.02783,18.08091,0.09742,-0.05308
1.24E+18,229.7482893,2.115103209,19.37746,18.37149,1.005972,18.03669,17.92522,17.94536,0.11147,-0.02014
1.24E+18,229.7613631,2.049108713,19.39418,18.4617,0.9324741,18.14655,18.03219,18.00498,0.11436,0.02721
1.24E+18,229.7421962,2.024243872,20.1144,19.14124,0.9731522,18.76163,18.67451,18.66433,0.08712,0.01018
