#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=14.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  14  0.107456  3.5507  5.3673 -2.7418 17.3783 13.7482 12.1220 11.4662 11.1044
  15  0.117399  3.5616  5.3231 -2.6157 16.6357 13.3078 11.7556 11.1496 10.8086
  16  0.127944  3.5719  5.2804 -2.4949 15.9659 12.8858 11.4123 10.8445 10.5211
  17  0.138658  3.5804  5.2428 -2.3881 15.3903 12.5149 11.1146 10.5749 10.2651
  18  0.148984  3.5868  5.2120 -2.3004 14.9443 12.2161 10.8737 10.3534 10.0534
  19  0.158339  3.5914  5.1879 -2.2316 14.6380 11.9907 10.6869 10.1793  9.8860
  20  0.167187  3.5949  5.1677 -2.1737 14.3977 11.8061 10.5311 10.0329  9.7447
  21  0.176627  3.5980  5.1485 -2.1181 14.1735 11.6313 10.3821  9.8920  9.6086
  22  0.194356  3.6029  5.1190 -2.0285 13.8093 11.3499 10.1412  9.6644  9.3884
  23  0.214562  3.6076  5.0907 -1.9394 13.4538 11.0728  9.9024  9.4379  9.1689
  24  0.229089  3.6108  5.0712 -1.8771 13.2181 10.8827  9.7363  9.2798  9.0159
  25  0.258402  3.6162  5.0419 -1.7740 12.8349 10.5671  9.4593  9.0164  8.7613
  26  0.281858  3.6200  5.0229 -1.7016 12.5701 10.3472  9.2649  8.8312  8.5825
  27  0.304179  3.6234  5.0078 -1.6400 12.3445 10.1593  9.0987  8.6735  8.4303
  28  0.319358  3.6254  4.9988 -1.6014 12.2027 10.0419  8.9947  8.5746  8.3349
  29  0.329337  3.6268  4.9931 -1.5771 12.1138  9.9683  8.9292  8.5123  8.2748
  30  0.337891  3.6279  4.9885 -1.5568 12.0389  9.9068  8.8745  8.4602  8.2246
  31  0.345858  3.6290  4.9845 -1.5383 11.9697  9.8505  8.8246  8.4130  8.1790
  32  0.352497  3.6300  4.9813 -1.5232 11.9118  9.8037  8.7834  8.3739  8.1416
  33  0.357208  3.6307  4.9788 -1.5121 11.8690  9.7695  8.7532  8.3455  8.1143
  34  0.360666  3.6313  4.9764 -1.5033 11.8347  9.7420  8.7292  8.3229  8.0927
  35  0.363425  3.6317  4.9741 -1.4957 11.8048  9.7183  8.7085  8.3034  8.0740
  36  0.365854  3.6323  4.9718 -1.4886 11.7771  9.6963  8.6893  8.2853  8.0567
  37  0.368270  3.6327  4.9694 -1.4816 11.7499  9.6745  8.6701  8.2672  8.0393
  38  0.371023  3.6331  4.9666 -1.4740 11.7223  9.6520  8.6499  8.2479  8.0206
  39  0.375101  3.6337  4.9624 -1.4626 11.6806  9.6174  8.6190  8.2185  7.9923
  40  0.379782  3.6346  4.9549 -1.4460 11.6195  9.5670  8.5744  8.1762  7.9514
  41  0.391692  3.6370  4.9417 -1.4094 11.4749  9.4497  8.4735  8.0817  7.8611
  42  0.402701  3.6394  4.9283 -1.3744 11.3377  9.3382  8.3770  7.9915  7.7750
  43  0.410797  3.6414  4.9181 -1.3479 11.2317  9.2532  8.3037  7.9231  7.7099
  44  0.421867  3.6442  4.9046 -1.3113 11.0818  9.1347  8.2021  7.8285  7.6203
  45  0.432647  3.6473  4.8919 -1.2751 10.9281  9.0165  8.1011  7.7351  7.5320
  46  0.446233  3.6517  4.8751 -1.2275 10.7209  8.8598  7.9681  7.6123  7.4163
  47  0.458178  3.6558  4.8599 -1.1844 10.5293  8.7174  7.8476  7.5012  7.3119
