#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   9  0.105069  3.5476  5.3827 -2.7795 17.6078 13.8782 12.2324 11.5601 11.1918
  10  0.114290  3.5578  5.3413 -2.6608 16.8940 13.4655 11.8860 11.2633 10.9151
  11  0.124646  3.5682  5.2989 -2.5392 16.2067 13.0401 11.5375 10.9566 10.6271
  12  0.138143  3.5792  5.2533 -2.4051 15.4793 12.5725 11.1609 10.6174 10.3057
  13  0.156577  3.5895  5.2078 -2.2639 14.7742 12.0928 10.7726 10.2602  9.9643
  14  0.178130  3.5975  5.1690 -2.1375 14.2394 11.6852 10.4304  9.9394  9.6553
  15  0.200240  3.6035  5.1351 -2.0288 13.7976 11.3441 10.1390  9.6639  9.3889
  16  0.219247  3.6080  5.1083 -1.9450 13.4651 11.0839  9.9145  9.4508  9.1826
  17  0.233259  3.6110  5.0896 -1.8869 13.2441 10.9065  9.7596  9.3033  9.0398
  18  0.253660  3.6148  5.0665 -1.8124 12.9677 10.6795  9.5601  9.1134  8.8560
  19  0.269588  3.6175  5.0499 -1.7582 12.7697 10.5151  9.4149  8.9749  8.7221
  20  0.286687  3.6202  5.0345 -1.7052 12.5782 10.3551  9.2729  8.8397  8.5912
  21  0.305248  3.6229  5.0191 -1.6518 12.3853 10.1934  9.1295  8.7030  8.4591
  22  0.317847  3.6246  5.0101 -1.6181 12.2628 10.0916  9.0389  8.6168  8.3758
  23  0.326804  3.6258  5.0043 -1.5954 12.1807 10.0235  8.9782  8.5589  8.3199
  24  0.334807  3.6269  4.9987 -1.5750 12.1071  9.9624  8.9235  8.5068  8.2695
  25  0.342827  3.6280  4.9936 -1.5554 12.0350  9.9032  8.8707  8.4566  8.2210
  26  0.350998  3.6291  4.9887 -1.5359 11.9623  9.8438  8.8181  8.4066  8.1728
  27  0.357418  3.6299  4.9855 -1.5213 11.9070  9.7991  8.7785  8.3691  8.1368
  28  0.362625  3.6307  4.9827 -1.5094 11.8615  9.7625  8.7463  8.3387  8.1076
  29  0.367345  3.6315  4.9797 -1.4980 11.8180  9.7275  8.7154  8.3094  8.0795
  30  0.372695  3.6323  4.9758 -1.4847 11.7667  9.6864  8.6791  8.2751  8.0467
  31  0.379713  3.6335  4.9701 -1.4664 11.6960  9.6302  8.6296  8.2284  8.0018
  32  0.398273  3.6373  4.9529 -1.4141 11.4857  9.4659  8.4863  8.0941  7.8737
  33  0.459583  3.6525  4.8902 -1.2267 10.7046  8.8522  7.9635  7.6092  7.4144
  34  0.470962  3.6562  4.8773 -1.1881 10.5319  8.7254  7.8562  7.5103  7.3215
  35  0.483857  3.6611  4.8627 -1.1424 10.3202  8.5709  7.7275  7.3929  7.2118
