#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  12  0.105907  3.5488  5.3767 -2.7654 17.5220 13.8299 12.1911 11.5251 11.1592
  13  0.115698  3.5596  5.3331 -2.6403 16.7754 13.3936 11.8265 11.2115 10.8667
  14  0.126817  3.5705  5.2884 -2.5120 16.0573 12.9449 11.4603 10.8877 10.5621
  15  0.139632  3.5807  5.2451 -2.3864 15.3781 12.5076 11.1092 10.5703 10.2608
  16  0.153112  3.5885  5.2087 -2.2786 14.8411 12.1423 10.8136 10.2980 10.0004
  17  0.165476  3.5937  5.1811 -2.1962 14.4859 11.8752 10.5905 10.0893  9.7995
  18  0.177280  3.5978  5.1581 -2.1272 14.2048 11.6568 10.4049  9.9143  9.6306
  19  0.193768  3.6023  5.1301 -2.0425 13.8603 11.3907 10.1773  9.6993  9.4225
  20  0.209759  3.6063  5.1059 -1.9687 13.5662 11.1617  9.9799  9.5120  9.2411
  21  0.225592  3.6098  5.0844 -1.9014 13.3061 10.9548  9.8002  9.3410  9.0755
  22  0.240615  3.6128  5.0659 -1.8422 13.0857 10.7751  9.6422  9.1905  8.9298
  23  0.265847  3.6172  5.0409 -1.7564 12.7691 10.5131  9.4117  8.9712  8.7179
  24  0.286224  3.6205  5.0240 -1.6944 12.5442 10.3254  9.2454  8.8128  8.5647
  25  0.307725  3.6236  5.0085 -1.6349 12.3271 10.1441  9.0851  8.6603  8.4176
  26  0.320535  3.6253  5.0005 -1.6021 12.2073 10.0449  8.9968  8.5764  8.3365
  27  0.330026  3.6266  4.9948 -1.5786 12.1217  9.9739  8.9335  8.5161  8.2783
  28  0.338480  3.6277  4.9898 -1.5581 12.0469  9.9123  8.8786  8.4639  8.2278
  29  0.346727  3.6289  4.9855 -1.5390 11.9750  9.8538  8.8268  8.4147  8.1805
  30  0.353582  3.6298  4.9824 -1.5236 11.9163  9.8063  8.7850  8.3752  8.1426
  31  0.358521  3.6305  4.9799 -1.5124 11.8729  9.7716  8.7544  8.3463  8.1148
  32  0.362278  3.6311  4.9775 -1.5031 11.8376  9.7432  8.7294  8.3227  8.0922
  33  0.365459  3.6316  4.9751 -1.4948 11.8052  9.7173  8.7066  8.3012  8.0716
  34  0.368583  3.6322  4.9723 -1.4863 11.7721  9.6909  8.6834  8.2792  8.0505
  35  0.372089  3.6327  4.9691 -1.4766 11.7358  9.6616  8.6575  8.2547  8.0270
  36  0.376402  3.6334  4.9651 -1.4652 11.6934  9.6271  8.6266  8.2254  7.9987
  37  0.405607  3.6392  4.9354 -1.3793 11.3545  9.3517  8.3896  8.0036  7.7868
  38  0.420134  3.6429  4.9189 -1.3330 11.1656  9.2015  8.2609  7.8841  7.6735
  39  0.435118  3.6467  4.9024 -1.2856 10.9681  9.0488  8.1296  7.7619  7.5577
  40  0.456094  3.6531  4.8785 -1.2157 10.6635  8.8188  7.9342  7.5815  7.3878
  41  0.467070  3.6569  4.8652 -1.1770 10.4893  8.6907  7.8260  7.4820  7.2943
  42  0.479230  3.6616  4.8505 -1.1321 10.2812  8.5393  7.6997  7.3666  7.1866
  43  0.488537  3.6654  4.8390 -1.0971 10.1180  8.4218  7.6017  7.2774  7.1034
  44  0.500309  3.6710  4.8262 -1.0515  9.8940  8.2638  7.4726  7.1611  6.9961
  45  0.510681  3.6761  4.8152 -1.0112  9.6933  8.1240  7.3589  7.0589  6.9019
