objid,u,g,r,i,z,u-g,g-r,r-i
1.24E+18,15.64877,14.65252,14.55741,14.229,13.33909,0.99625,0.09511,0.32841
1.24E+18,16.42908,14.98056,14.36546,14.10973,13.94392,1.44852,0.6151,0.25573
1.24E+18,16.53623,15.13512,14.51652,14.2631,14.09655,1.40111,0.6186,0.25342
1.24E+18,15.89986,14.8365,14.47984,14.37411,14.32596,1.06336,0.35666,0.10573
1.24E+18,16.18958,14.97118,14.85165,14.84361,14.81034,1.2184,0.11953,0.00804
1.24E+18,17.12411,15.64006,15.13661,15.0047,14.94914,1.48405,0.50345,0.13191
1.24E+18,16.52015,15.39308,15.60698,15.80642,15.91294,1.12707,-0.2139,-0.19944
1.24E+18,17.6459,16.29618,15.8165,15.67704,15.5954,1.34972,0.47968,0.13946
1.24E+18,17.73043,16.56932,16.06698,15.86425,15.76446,1.16111,0.50234,0.20273
1.24E+18,16.82334,16.36074,16.67595,16.95703,17.18259,0.4626,-0.31521,-0.28108
1.24E+18,17.86671,16.71069,16.21476,16.02197,15.92126,1.15602,0.49593,0.19279
1.24E+18,17.9658,16.8994,16.51492,16.4039,16.37949,1.0664,0.38448,0.11102
1.24E+18,21.734,22.27515,16.68424,16.35644,16.17051,-0.54115,5.59091,0.3278
1.24E+18,18.51099,17.3408,16.99619,20.32621,16.81014,1.17019,0.34461,-3.33002
1.24E+18,19.55359,17.63935,16.9424,16.73332,16.62696,1.91424,0.69695,0.20908
1.24E+18,18.50353,17.42817,16.94176,16.7706,16.70109,1.07536,0.48641,0.17116
1.24E+18,18.57758,17.50091,17.029,16.86322,16.77018,1.07667,0.47191,0.16578
1.24E+18,18.99874,17.96588,17.52048,17.366,17.32149,1.03286,0.4454,0.15448
1.24E+18,21.34711,18.89379,17.83386,17.52033,17.35605,2.45332,1.05993,0.31353
1.24E+18,19.15613,18.1954,17.84278,17.74805,17.72921,0.96073,0.35262,0.09473
1.24E+18,19.18012,18.25431,17.96808,17.90928,17.93194,0.92581,0.28623,0.0588
1.24E+18,19.23016,18.3024,18.00498,17.90059,17.92182,0.92776,0.29742,0.10439
1.24E+18,19.31446,18.28275,17.97422,17.88664,17.89248,1.03171,0.30853,0.08758
1.24E+18,19.50886,18.60683,18.28907,18.2123,18.2875,0.90203,0.31776,0.07677
1.24E+18,19.24463,21.34842,20.7334,20.31815,19.45264,-2.10379,0.61502,0.41525
1.24E+18,20.51604,25.11438,20.3645,19.22283,19.58825,-4.59834,4.74988,1.14167
1.24E+18,19.82095,18.84716,18.63426,18.58253,18.63213,0.97379,0.2129,0.05173
1.24E+18,21.66325,22.57225,22.00885,21.91708,20.27386,-0.909,0.5634,0.09177
